County_Code,County,FedFSystemID,FedFSystemDescript,Urbanization,Miles,Miles_Percentage,Lane_Miles,Lanes_Percentage,Annual_Vehicle_Miles_Millions,Daily_Vehicle_Miles_Travel_Thousands,VMT_Percentage,RowOrder
02,Berkeley,6,Minor Collector,Rural,8.49,1.29,16.98,1.2,3.58,9.81,0.31,1
02,Berkeley,7,Local,Rural,233.6,35.49,467.21,33.02,31.96,87.55,2.73,1
02,Berkeley,99,Total County,All,658.25,100,1415.06,100,1171.91,3210.71,100,2
03,Boone,1,Interstate,Urban,0,0,0,0,0,0,0,1
03,Boone,2,O. F. E,Urban,0,0,0,0,0,0,0,1
03,Boone,3,O. P. A.,Urban,0,0,0,0,0,0,0,1
03,Boone,4,Minor Arterial,Urban,0,0,0,0,0,0,0,1
03,Boone,5,Major Collector,Urban,0,0,0,0,0,0,0,1
03,Boone,6,Minor Collector,Urban,0,0,0,0,0,0,0,1
03,Boone,7,Local,Urban,0,0,0,0,0,0,0,1
03,Boone,1,Interstate,Rural,0,0,0,0,0,0,0,1
03,Boone,2,O. F. E,Rural,0,0,0,0,0,0,0,1
03,Boone,3,O. P. A.,Rural,22.94,5.59,91.58,10.58,85.16,233.32,43.97,1
03,Boone,4,Minor Arterial,Rural,38.27,9.33,76.54,8.84,29.04,79.56,14.99,1
03,Boone,5,Major Collector,Rural,95.37,23.25,190.75,22.04,61.88,169.52,31.95,1
03,Boone,6,Minor Collector,Rural,29.37,7.16,58.75,6.79,3.34,9.15,1.72,1
03,Boone,7,Local,Rural,224.26,54.67,447.8,51.74,14.26,39.08,7.36,1
03,Boone,99,Total County,All,410.21,100,865.42,100,193.68,530.63,100,2
04,Braxton,1,Interstate,Urban,0,0,0,0,0,0,0,1
04,Braxton,2,O. F. E,Urban,0,0,0,0,0,0,0,1
04,Braxton,3,O. P. A.,Urban,0,0,0,0,0,0,0,1
04,Braxton,4,Minor Arterial,Urban,0,0,0,0,0,0,0,1
04,Braxton,5,Major Collector,Urban,0,0,0,0,0,0,0,1
04,Braxton,6,Minor Collector,Urban,0,0,0,0,0,0,0,1
04,Braxton,7,Local,Urban,0,0,0,0,0,0,0,1
04,Braxton,1,Interstate,Rural,48.73,6.18,164.38,9.9,206.86,566.74,68.26,1
04,Braxton,2,O. F. E,Rural,0,0,0,0,0,0,0,1
04,Braxton,3,O. P. A.,Rural,7.18,0.91,30.23,1.82,27.95,76.57,9.22,1
04,Braxton,4,Minor Arterial,Rural,0,0,0,0,0,0,0,1
04,Braxton,5,Major Collector,Rural,143.77,18.23,287.55,17.33,55.01,150.71,18.15,1
04,Braxton,6,Minor Collector,Rural,67.43,8.55,134.86,8.13,5.89,16.13,1.94,1
04,Braxton,7,Local,Rural,521.33,66.12,1042.66,62.82,7.35,20.13,2.42,1
04,Braxton,99,Total County,All,788.44,100,1659.68,100,303.06,830.28,100,2
05,Brooke,1,Interstate,Urban,0,0,0,0,0,0,0,1
05,Brooke,2,O. F. E,Urban,8.37,3.53,26.73,5.44,59.99,164.36,31.94,1
05,Brooke,3,O. P. A.,Urban,7.9,3.33,22.01,4.48,33.2,90.95,17.68,1
05,Brooke,4,Minor Arterial,Urban,8.17,3.44,16.33,3.32,9.31,25.51,4.96,1
05,Brooke,5,Major Collector,Urban,13.81,5.82,27.58,5.61,12.77,34.98,6.8,1
05,Brooke,6,Minor Collector,Urban,0,0,0,0,0,0,0,1
05,Brooke,7,Local,Urban,25.29,10.66,50.21,10.21,3.24,8.87,1.72,1
05,Brooke,1,Interstate,Rural,0,0,0,0,0,0,0,1
05,Brooke,2,O. F. E,Rural,2.59,1.09,2.59,0.53,2.38,6.53,1.27,1
05,Brooke,3,O. P. A.,Rural,10.7,4.51,25.21,5.13,29.68,81.3,15.8,1
05,Brooke,4,Minor Arterial,Rural,6.71,2.83,13.43,2.73,8.89,24.36,4.73,1
05,Brooke,5,Major Collector,Rural,47.99,20.22,96.03,19.53,20.61,56.46,10.97,1
05,Brooke,6,Minor Collector,Rural,16.33,6.88,32.66,6.64,1.48,4.07,0.79,1
05,Brooke,7,Local,Rural,89.48,37.7,179,36.4,6.25,17.12,3.33,1
05,Brooke,99,Total County,All,237.34,100,491.78,100,187.8,514.51,100,2
06,Cabell,1,Interstate,Urban,34.53,4.81,118.77,7.73,369.26,1011.68,43.52,1
06,Cabell,2,O. F. E,Urban,2.59,0.36,4.81,0.31,10.24,28.07,1.21,1
06,Cabell,3,O. P. A.,Urban,37.01,5.15,109.42,7.12,159.15,436.04,18.76,1
06,Cabell,4,Minor Arterial,Urban,51.08,7.11,114.05,7.42,164.06,449.48,19.33,1
06,Cabell,5,Major Collector,Urban,46.28,6.45,94.38,6.14,37.89,103.81,4.47,1
06,Cabell,6,Minor Collector,Urban,1.18,0.16,2.36,0.15,0.28,0.77,0.03,1
06,Cabell,7,Local,Urban,165.04,22.99,332.08,21.62,34.6,94.8,4.08,1
06,Cabell,1,Interstate,Rural,0.08,0.01,0.08,0.01,0.11,0.31,0.01,1
06,Cabell,2,O. F. E,Rural,0,0,0,0,0,0,0,1
06,Cabell,3,O. P. A.,Rural,8.65,1.2,17.3,1.13,16.38,44.88,1.93,1
06,Cabell,4,Minor Arterial,Rural,8.9,1.24,17.8,1.16,15.58,42.7,1.84,1
06,Cabell,5,Major Collector,Rural,77.38,10.78,154.75,10.07,24.34,66.68,2.87,1
06,Cabell,6,Minor Collector,Rural,28.52,3.97,57.04,3.71,5.19,14.21,0.61,1
06,Cabell,7,Local,Rural,256.74,35.76,513.48,33.42,11.44,31.35,1.35,1
06,Cabell,99,Total County,All,717.98,100,1536.31,100,848.52,2324.78,100,2
07,Calhoun,1,Interstate,Urban,0,0,0,0,0,0,0,1
07,Calhoun,2,O. F. E,Urban,0,0,0,0,0,0,0,1
07,Calhoun,3,O. P. A.,Urban,0,0,0,0,0,0,0,1
07,Calhoun,4,Minor Arterial,Urban,0,0,0,0,0,0,0,1
07,Calhoun,5,Major Collector,Urban,0,0,0,0,0,0,0,1
07,Calhoun,6,Minor Collector,Urban,0,0,0,0,0,0,0,1
07,Calhoun,7,Local,Urban,0,0,0,0,0,0,0,1
07,Calhoun,1,Interstate,Rural,0,0,0,0,0,0,0,1
07,Calhoun,2,O. F. E,Rural,0,0,0,0,0,0,0,1
07,Calhoun,3,O. P. A.,Rural,0,0,0,0,0,0,0,1
07,Calhoun,4,Minor Arterial,Rural,14.86,3.19,29.72,3.19,6.34,17.36,14.14,1
07,Calhoun,5,Major Collector,Rural,86.96,18.67,173.92,18.67,27.75,76.04,61.95,1
07,Calhoun,6,Minor Collector,Rural,45.17,9.7,90.34,9.7,2.49,6.81,5.55,1
07,Calhoun,7,Local,Rural,318.75,68.44,637.5,68.44,8.22,22.53,18.36,1
07,Calhoun,99,Total County,All,465.74,100,931.48,100,44.8,122.74,100,2
08,Clay,1,Interstate,Urban,0,0,0,0,0,0,0,1
08,Clay,2,O. F. E,Urban,0,0,0,0,0,0,0,1
08,Clay,3,O. P. A.,Urban,0,0,0,0,0,0,0,1
08,Clay,4,Minor Arterial,Urban,0,0,0,0,0,0,0,1
08,Clay,5,Major Collector,Urban,0,0,0,0,0,0,0,1
08,Clay,6,Minor Collector,Urban,0,0,0,0,0,0,0,1
08,Clay,7,Local,Urban,0,0,0,0,0,0,0,1
08,Clay,1,Interstate,Rural,10.08,1.93,35.88,3.38,33.32,91.29,43.57,1
08,Clay,2,O. F. E,Rural,0,0,0,0,0,0,0,1
08,Clay,3,O. P. A.,Rural,0,0,0,0,0,0,0,1
08,Clay,4,Minor Arterial,Rural,0,0,0,0,0,0,0,1
08,Clay,5,Major Collector,Rural,129.37,24.77,258.74,24.4,32.7,89.58,42.75,1
08,Clay,6,Minor Collector,Rural,27.47,5.26,54.94,5.18,1.61,4.4,2.1,1
08,Clay,7,Local,Rural,355.4,68.04,710.81,67.03,8.85,24.25,11.57,1
08,Clay,99,Total County,All,522.32,100,1060.37,100,76.48,209.52,100,2
09,Doddridge,1,Interstate,Urban,0,0,0,0,0,0,0,1
09,Doddridge,2,O. F. E,Urban,0,0,0,0,0,0,0,1
09,Doddridge,3,O. P. A.,Urban,0,0,0,0,0,0,0,1
09,Doddridge,4,Minor Arterial,Urban,0,0,0,0,0,0,0,1
09,Doddridge,5,Major Collector,Urban,0,0,0,0,0,0,0,1
09,Doddridge,6,Minor Collector,Urban,0,0,0,0,0,0,0,1
09,Doddridge,7,Local,Urban,0,0,0,0,0,0,0,1
09,Doddridge,1,Interstate,Rural,0,0,0,0,0,0,0,1
09,Doddridge,2,O. F. E,Rural,0,0,0,0,0,0,0,1
09,Doddridge,3,O. P. A.,Rural,18.87,3.57,75.48,6.89,64.11,175.65,63.08,1
09,Doddridge,4,Minor Arterial,Rural,0,0,0,0,0,0,0,1
09,Doddridge,5,Major Collector,Rural,130.87,24.73,261.74,23.88,27.19,74.49,26.75,1
09,Doddridge,6,Minor Collector,Rural,40.1,7.58,80.2,7.32,3.22,8.82,3.17,1
09,Doddridge,7,Local,Rural,339.39,64.13,678.78,61.92,7.12,19.5,7,1
09,Doddridge,99,Total County,All,529.23,100,1096.2,100,101.64,278.46,100,2
10,Fayette,1,Interstate,Urban,0,0,0,0,0,0,0,1
10,Fayette,2,O. F. E,Urban,0,0,0,0,0,0,0,1
10,Fayette,3,O. P. A.,Urban,17.12,1.87,56.15,2.95,105.81,289.9,20.05,1
10,Fayette,4,Minor Arterial,Urban,23.23,2.54,46.45,2.44,31.73,86.93,6.01,1
10,Fayette,5,Major Collector,Urban,23.26,2.54,46.52,2.44,8.96,24.54,1.7,1
10,Fayette,6,Minor Collector,Urban,0.51,0.06,1.02,0.05,0.05,0.13,0.01,1
10,Fayette,7,Local,Urban,53.91,5.9,107.81,5.66,3.14,8.61,0.6,1
10,Fayette,1,Interstate,Rural,17.86,1.95,62.65,3.29,160.95,440.95,30.49,1
10,Fayette,2,O. F. E,Rural,0,0,0,0,0,0,0,1
10,Fayette,3,O. P. A.,Rural,14.86,1.63,54.7,2.87,73.88,202.41,14,1
10,Fayette,4,Minor Arterial,Rural,66.35,7.26,135.65,7.12,59.99,164.37,11.37,1
10,Fayette,5,Major Collector,Rural,206.35,22.57,412.46,21.65,65.46,179.35,12.4,1
10,Fayette,6,Minor Collector,Rural,34.76,3.8,69.52,3.65,3.95,10.83,0.75,1
10,Fayette,7,Local,Rural,455.94,49.88,911.87,47.87,13.9,38.08,2.63,1
10,Fayette,99,Total County,All,914.15,100,1904.8,100,527.82,1446.1,100,2
11,Gilmer,1,Interstate,Urban,0,0,0,0,0,0,0,1
11,Gilmer,2,O. F. E,Urban,0,0,0,0,0,0,0,1
11,Gilmer,3,O. P. A.,Urban,0,0,0,0,0,0,0,1
11,Gilmer,4,Minor Arterial,Urban,0,0,0,0,0,0,0,1
11,Gilmer,5,Major Collector,Urban,0,0,0,0,0,0,0,1
11,Gilmer,6,Minor Collector,Urban,0,0,0,0,0,0,0,1
11,Gilmer,7,Local,Urban,0,0,0,0,0,0,0,1
11,Gilmer,1,Interstate,Rural,0.4,0.08,1.6,0.17,0.06,0.16,0.13,1
11,Gilmer,2,O. F. E,Rural,0,0,0,0,0,0,0,1
11,Gilmer,3,O. P. A.,Rural,0,0,0,0,0,0,0,1
11,Gilmer,4,Minor Arterial,Rural,26.98,5.66,53.96,5.66,12.25,33.56,26.74,1
11,Gilmer,5,Major Collector,Rural,102.19,21.46,204.38,21.44,26.12,71.57,57.02,1
11,Gilmer,6,Minor Collector,Rural,41.28,8.67,82.56,8.66,1.51,4.13,3.29,1
11,Gilmer,7,Local,Rural,305.42,64.13,610.84,64.07,5.88,16.1,12.83,1
11,Gilmer,99,Total County,All,476.27,100,953.34,100,45.82,125.52,100,2
12,Grant,1,Interstate,Urban,0,0,0,0,0,0,0,1
12,Grant,2,O. F. E,Urban,0,0,0,0,0,0,0,1
12,Grant,3,O. P. A.,Urban,0,0,0,0,0,0,0,1
12,Grant,4,Minor Arterial,Urban,0,0,0,0,0,0,0,1
12,Grant,5,Major Collector,Urban,0,0,0,0,0,0,0,1
12,Grant,6,Minor Collector,Urban,0,0,0,0,0,0,0,1
12,Grant,7,Local,Urban,0,0,0,0,0,0,0,1
12,Grant,1,Interstate,Rural,0,0,0,0,0,0,0,1
12,Grant,2,O. F. E,Rural,0,0,0,0,0,0,0,1
12,Grant,3,O. P. A.,Rural,35.17,8.91,111.42,13.42,23.74,65.04,21.62,1
12,Grant,4,Minor Arterial,Rural,53.29,13.5,106.58,12.84,47.19,129.28,42.97,1
12,Grant,5,Major Collector,Rural,85.34,21.63,170.68,20.56,26.28,71.99,23.93,1
12,Grant,6,Minor Collector,Rural,29.88,7.57,59.75,7.2,4.11,11.27,3.75,1
12,Grant,7,Local,Rural,190.93,48.38,381.87,45.99,8.5,23.28,7.74,1
12,Grant,99,Total County,All,394.6,100,830.3,100,109.82,300.86,100,2
13,Greenbrier,1,Interstate,Urban,2.63,0.26,6.41,0.31,7.19,19.69,1.84,1
13,Greenbrier,2,O. F. E,Urban,0,0,0,0,0,0,0,1
13,Greenbrier,3,O. P. A.,Urban,9.7,0.96,19.91,0.95,36.73,100.64,9.4,1
13,Greenbrier,4,Minor Arterial,Urban,4.49,0.44,8.98,0.43,5.6,15.35,1.43,1
13,Greenbrier,5,Major Collector,Urban,7.82,0.77,15.36,0.74,2.57,7.03,0.66,1
13,Greenbrier,6,Minor Collector,Urban,0,0,0,0,0,0,0,1
13,Greenbrier,7,Local,Urban,15.85,1.57,31.69,1.52,1.89,5.18,0.48,1
13,Greenbrier,1,Interstate,Rural,40.85,4.04,146.63,7.02,155.82,426.9,39.88,1
13,Greenbrier,2,O. F. E,Rural,0,0,0,0,0,0,0,1
13,Greenbrier,3,O. P. A.,Rural,26.16,2.59,53.2,2.55,31.66,86.74,8.1,1
13,Greenbrier,4,Minor Arterial,Rural,87.33,8.64,174.66,8.36,82.23,225.29,21.05,1
13,Greenbrier,5,Major Collector,Rural,135.93,13.45,271.85,13.02,32.36,88.67,8.28,1
13,Greenbrier,6,Minor Collector,Rural,79.97,7.91,159.93,7.66,10.59,29.02,2.71,1
13,Greenbrier,7,Local,Rural,599.92,59.36,1199.85,57.45,24.07,65.94,6.16,1
13,Greenbrier,99,Total County,All,1010.64,100,2088.47,100,390.71,1070.45,100,2
14,Hampshire,1,Interstate,Urban,0,0,0,0,0,0,0,1
14,Hampshire,2,O. F. E,Urban,0,0,0,0,0,0,0,1
14,Hampshire,3,O. P. A.,Urban,0,0,0,0,0,0,0,1
14,Hampshire,4,Minor Arterial,Urban,0,0,0,0,0,0,0,1
14,Hampshire,5,Major Collector,Urban,0,0,0,0,0,0,0,1
14,Hampshire,6,Minor Collector,Urban,0,0,0,0,0,0,0,1
14,Hampshire,7,Local,Urban,0,0,0,0,0,0,0,1
14,Hampshire,1,Interstate,Rural,0,0,0,0,0,0,0,1
14,Hampshire,2,O. F. E,Rural,0,0,0,0,0,0,0,1
14,Hampshire,3,O. P. A.,Rural,0,0,0,0,0,0,0,1
14,Hampshire,4,Minor Arterial,Rural,45.23,6.63,90.46,6.63,89.73,245.84,46.14,1
14,Hampshire,5,Major Collector,Rural,149.79,21.94,299.59,21.94,78.96,216.33,40.6,1
14,Hampshire,6,Minor Collector,Rural,36.35,5.33,72.7,5.32,6.27,17.18,3.22,1
14,Hampshire,7,Local,Rural,451.25,66.11,902.51,66.11,19.5,53.43,10.03,1
14,Hampshire,99,Total County,All,682.62,100,1365.26,100,194.46,532.78,100,2
15,Hancock,1,Interstate,Urban,0,0,0,0,0,0,0,1
15,Hancock,2,O. F. E,Urban,0.39,0.17,1.56,0.33,4.23,11.58,3.49,1
15,Hancock,3,O. P. A.,Urban,9.41,4.06,21.93,4.66,23.36,63.99,19.31,1
15,Hancock,4,Minor Arterial,Urban,15.14,6.53,32.36,6.88,29.76,81.53,24.6,1
15,Hancock,5,Major Collector,Urban,13.24,5.71,26.3,5.59,11.99,32.84,9.91,1
15,Hancock,6,Minor Collector,Urban,0,0,0,0,0,0,0,1
15,Hancock,7,Local,Urban,16.64,7.18,33.29,7.08,1.9,5.2,1.57,1
15,Hancock,1,Interstate,Rural,0,0,0,0,0,0,0,1
15,Hancock,2,O. F. E,Rural,0,0,0,0,0,0,0,1
15,Hancock,3,O. P. A.,Rural,13.38,5.77,26.76,5.69,18.59,50.92,15.36,1
15,Hancock,4,Minor Arterial,Rural,3.56,1.54,7.94,1.69,6.8,18.64,5.62,1
15,Hancock,5,Major Collector,Rural,38.75,16.71,77.49,16.47,15.86,43.46,13.11,1
15,Hancock,6,Minor Collector,Rural,16.17,6.97,32.34,6.87,3.86,10.58,3.19,1
15,Hancock,7,Local,Rural,105.23,45.38,210.45,44.74,4.64,12.72,3.84,1
15,Hancock,99,Total County,All,231.9,100,470.42,100,120.99,331.46,100,2
16,Hardy,1,Interstate,Urban,0,0,0,0,0,0,0,1
16,Hardy,2,O. F. E,Urban,0,0,0,0,0,0,0,1
16,Hardy,3,O. P. A.,Urban,0,0,0,0,0,0,0,1
16,Hardy,4,Minor Arterial,Urban,0,0,0,0,0,0,0,1
16,Hardy,5,Major Collector,Urban,0,0,0,0,0,0,0,1
16,Hardy,6,Minor Collector,Urban,0,0,0,0,0,0,0,1
16,Hardy,7,Local,Urban,0,0,0,0,0,0,0,1
16,Hardy,1,Interstate,Rural,0,0,0,0,0,0,0,1
16,Hardy,2,O. F. E,Rural,0,0,0,0,0,0,0,1
16,Hardy,3,O. P. A.,Rural,44.87,8.62,146.19,13.32,61.35,168.08,35.6,1
16,Hardy,4,Minor Arterial,Rural,10,1.92,20,1.82,20.45,56.02,11.86,1
16,Hardy,5,Major Collector,Rural,134.41,25.82,268.82,24.49,62.16,170.31,36.07,1
16,Hardy,6,Minor Collector,Rural,34.44,6.62,68.88,6.28,4.35,11.91,2.52,1
16,Hardy,7,Local,Rural,296.87,57.03,593.75,54.09,24.05,65.88,13.95,1
16,Hardy,99,Total County,All,520.59,100,1097.64,100,172.36,472.2,100,2
17,Harrison,1,Interstate,Urban,14.13,1.6,47.05,2.52,128.66,352.48,15.98,1
17,Harrison,2,O. F. E,Urban,0,0,0,0,0,0,0,1
17,Harrison,3,O. P. A.,Urban,8.24,0.93,24.37,1.31,65.81,180.31,8.17,1
17,Harrison,4,Minor Arterial,Urban,38.03,4.3,83.86,4.49,110.11,301.68,13.67,1
17,Harrison,5,Major Collector,Urban,30.09,3.4,60.76,3.26,22.03,60.35,2.74,1
17,Harrison,6,Minor Collector,Urban,0,0,0,0,0,0,0,1
17,Harrison,7,Local,Urban,34.37,3.88,68.73,3.68,20.85,57.11,2.59,1
17,Harrison,1,Interstate,Rural,20.14,2.28,71.52,3.83,202.78,555.57,25.18,1
17,Harrison,2,O. F. E,Rural,0,0,0,0,0,0,0,1
17,Harrison,3,O. P. A.,Rural,13.08,1.48,52.3,2.8,66.1,181.08,8.21,1
17,Harrison,4,Minor Arterial,Rural,65.95,7.45,134.66,7.22,101.02,276.77,12.55,1
17,Harrison,5,Major Collector,Rural,114.53,12.94,229.93,12.32,52.79,144.64,6.56,1
17,Harrison,6,Minor Collector,Rural,58.73,6.64,117.46,6.29,12.16,33.31,1.51,1
17,Harrison,7,Local,Rural,487.76,55.11,975.62,52.28,22.94,62.85,2.85,1
17,Harrison,99,Total County,All,885.03,100,1866.26,100,805.25,2206.15,100,2
18,Jackson,1,Interstate,Urban,0,0,0,0,0,0,0,1
18,Jackson,2,O. F. E,Urban,0,0,0,0,0,0,0,1
18,Jackson,3,O. P. A.,Urban,0,0,0,0,0,0,0,1
18,Jackson,4,Minor Arterial,Urban,0,0,0,0,0,0,0,1
18,Jackson,5,Major Collector,Urban,0,0,0,0,0,0,0,1
18,Jackson,6,Minor Collector,Urban,0,0,0,0,0,0,0,1
18,Jackson,7,Local,Urban,0,0,0,0,0,0,0,1
18,Jackson,1,Interstate,Rural,45.89,5.13,164.36,8.83,223.27,611.7,57.67,1
18,Jackson,2,O. F. E,Rural,0,0,0,0,0,0,0,1
18,Jackson,3,O. P. A.,Rural,14.95,1.67,30.4,1.63,26.99,73.96,6.97,1
18,Jackson,4,Minor Arterial,Rural,22.54,2.52,45.12,2.43,37.82,103.6,9.77,1
18,Jackson,5,Major Collector,Rural,108.15,12.1,216.31,11.63,61.9,169.58,15.99,1
18,Jackson,6,Minor Collector,Rural,59.38,6.64,118.76,6.38,10.22,28,2.64,1
18,Jackson,7,Local,Rural,642.78,71.92,1285.56,69.1,26.93,73.79,6.96,1
18,Jackson,99,Total County,All,893.69,100,1860.51,100,387.13,1060.63,100,2
19,Jefferson,1,Interstate,Urban,0,0,0,0,0,0,0,1
19,Jefferson,2,O. F. E,Urban,0,0,0,0,0,0,0,1
19,Jefferson,3,O. P. A.,Urban,14.55,3.16,42.19,4.4,90.77,248.68,21.1,1
19,Jefferson,4,Minor Arterial,Urban,6.01,1.31,12.27,1.28,15.01,41.13,3.49,1
19,Jefferson,5,Major Collector,Urban,9.68,2.1,19.37,2.02,14.04,38.48,3.27,1
19,Jefferson,6,Minor Collector,Urban,0.96,0.21,1.92,0.2,0.24,0.67,0.06,1
19,Jefferson,7,Local,Urban,35.71,7.76,71.43,7.45,12.06,33.05,2.8,1
19,Jefferson,1,Interstate,Rural,0,0,0,0,0,0,0,1
19,Jefferson,2,O. F. E,Rural,0,0,0,0,0,0,0,1
19,Jefferson,3,O. P. A.,Rural,28.09,6.1,81.43,8.49,152.08,416.65,35.36,1
19,Jefferson,4,Minor Arterial,Rural,11.2,2.43,22.39,2.33,23.3,63.84,5.42,1
19,Jefferson,5,Major Collector,Rural,76.92,16.71,153.83,16.04,68.97,188.95,16.04,1
19,Jefferson,6,Minor Collector,Rural,25.86,5.62,51.72,5.39,15.97,43.76,3.71,1
19,Jefferson,7,Local,Rural,251.23,54.59,502.47,52.39,37.64,103.12,8.75,1
19,Jefferson,99,Total County,All,460.21,100,959.02,100,430.08,1178.33,100,2
20,Kanawha,1,Interstate,Urban,56.57,3.85,188.53,5.84,591.73,1621.19,30.3,1
20,Kanawha,2,O. F. E,Urban,0,0,0,0,0,0,0,1
20,Kanawha,3,O. P. A.,Urban,64.35,4.38,219.8,6.81,333.75,914.37,17.09,1
20,Kanawha,4,Minor Arterial,Urban,101.78,6.92,207.57,6.43,219.41,601.11,11.23,1
20,Kanawha,5,Major Collector,Urban,92.27,6.28,184.65,5.72,91.44,250.53,4.68,1
20,Kanawha,6,Minor Collector,Urban,0,0,0,0,0,0,0,1
20,Kanawha,7,Local,Urban,202.82,13.8,405.65,12.57,42.79,117.24,2.19,1
20,Kanawha,1,Interstate,Rural,68,4.63,238.28,7.38,472.62,1294.85,24.2,1
20,Kanawha,2,O. F. E,Rural,0,0,0,0,0,0,0,1
20,Kanawha,3,O. P. A.,Rural,14.93,1.02,44.17,1.37,49.47,135.55,2.53,1
20,Kanawha,4,Minor Arterial,Rural,65.48,4.45,130.75,4.05,63.71,174.55,3.26,1
20,Kanawha,5,Major Collector,Rural,133.35,9.07,266.69,8.26,43.99,120.52,2.25,1
20,Kanawha,6,Minor Collector,Rural,58.33,3.97,116.66,3.61,9.57,26.23,0.49,1
20,Kanawha,7,Local,Rural,612.35,41.65,1225.39,37.96,34.46,94.41,1.76,1
20,Kanawha,99,Total County,All,1470.24,100,3228.14,100,1952.94,5350.55,100,2
21,Lewis,1,Interstate,Urban,0,0,0,0,0,0,0,1
21,Lewis,2,O. F. E,Urban,0,0,0,0,0,0,0,1
21,Lewis,3,O. P. A.,Urban,0,0,0,0,0,0,0,1
21,Lewis,4,Minor Arterial,Urban,0,0,0,0,0,0,0,1
21,Lewis,5,Major Collector,Urban,0,0,0,0,0,0,0,1
21,Lewis,6,Minor Collector,Urban,0,0,0,0,0,0,0,1
21,Lewis,7,Local,Urban,0,0,0,0,0,0,0,1
21,Lewis,1,Interstate,Rural,28.39,4.38,97,7.18,175.27,480.2,56.91,1
21,Lewis,2,O. F. E,Rural,0,0,0,0,0,0,0,1
21,Lewis,3,O. P. A.,Rural,7.2,1.11,28.8,2.13,39.86,109.2,12.94,1
21,Lewis,4,Minor Arterial,Rural,25.27,3.9,50.84,3.76,31.9,87.39,10.36,1
21,Lewis,5,Major Collector,Rural,88.83,13.71,177.59,13.15,42.62,116.76,13.84,1
21,Lewis,6,Minor Collector,Rural,44.21,6.82,88.42,6.55,4.39,12.02,1.42,1
21,Lewis,7,Local,Rural,454.12,70.08,908.24,67.23,13.95,38.22,4.53,1
21,Lewis,99,Total County,All,648.02,100,1350.89,100,307.99,843.79,100,2
22,Lincoln,1,Interstate,Urban,0,0,0,0,0,0,0,1
22,Lincoln,2,O. F. E,Urban,0,0,0,0,0,0,0,1
22,Lincoln,3,O. P. A.,Urban,0,0,0,0,0,0,0,1
22,Lincoln,4,Minor Arterial,Urban,0,0,0,0,0,0,0,1
22,Lincoln,5,Major Collector,Urban,0,0,0,0,0,0,0,1
22,Lincoln,6,Minor Collector,Urban,0,0,0,0,0,0,0,1
22,Lincoln,7,Local,Urban,0,0,0,0,0,0,0,1
22,Lincoln,1,Interstate,Rural,0,0,0,0,0,0,0,1
22,Lincoln,2,O. F. E,Rural,0,0,0,0,0,0,0,1
