,Year_Record,State_Code,Route_ID,Begin_Point,End_Point,Data_Item,Section_Length,Value_Numeric,Value_Text,Value_Date,Comments
39,01/01/2022,54,1740009000000,0.05,0.52,Alternative_Route_Name,0.47,,Gregory Run,,
40,01/01/2022,54,0274257001900,0.0,0.11,Alternative_Route_Name,0.11,,N. Tennessee Avenue,,
41,01/01/2022,54,17200500000EB,11.38,12.29,Alternative_Route_Name,0.91,,Davisson Run,,
42,01/01/2022,54,0230051000000,5.4,8.591,Alternative_Route_Name,3.191,,Middleway Pike,,
43,01/01/2022,54,2530310000000,7.16,7.808,Alternative_Route_Name,0.648,,East Grafton Road,,
44,01/01/2022,54,1040019430000,0.09,0.34,Alternative_Route_Name,0.25,,Oyler Avenue,,
45,01/01/2022,54,1940029000000,1.26,2.19,Alternative_Route_Name,0.93,,Engle Switch Rd,,
46,01/01/2022,54,1540003060000,2.171,2.32,Alternative_Route_Name,0.149,,Congo Arroyo Road,,
47,01/01/2022,54,2730002000000,15.93,18.05,Alternative_Route_Name,2.12,,Huntington Rd.,,
48,01/01/2022,54,4140019030000,0.387,0.5,Alternative_Route_Name,0.113,,N Sandbranch Road,,
49,01/01/2022,54,5030152000000,43.98,44.59,Alternative_Route_Name,0.61,,5th Street Rd,,
50,01/01/2022,54,2730002000000,20.57,20.72,Alternative_Route_Name,0.15,,Bartow Jones Bridge,,
51,01/01/2022,54,3330009000000,26.67,29.17,Alternative_Route_Name,2.5,,Martinsburg Road,,
52,01/01/2022,54,26202500000NB,8.07,9.79,Alternative_Route_Name,1.72,,Dragon Highway,,
53,01/01/2022,54,0230051000000,1.87,2.841,Alternative_Route_Name,0.971,,Gerrardstown Road,,
54,01/01/2022,54,2830104000000,1.65,2.65,Alternative_Route_Name,1.0,,Stafford Dr,,
55,01/01/2022,54,09200500000EB,5.63,6.54,Alternative_Route_Name,0.91,,Morgans Run,,
56,01/01/2022,54,5440021020000,0.5,1.98,Alternative_Route_Name,1.48,,River Road,,
57,01/01/2022,54,4030025000000,0.0,0.63,Alternative_Route_Name,0.63,,1st Ave.,,
58,01/01/2022,54,20200600000EB,9.19,10.9,Alternative_Route_Name,1.71,,Maccorkle Ave SW,,
59,01/01/2022,54,52300070007WB,0.23,0.33,Alternative_Route_Name,0.1,,WV 7 off ramp,,
60,01/01/2022,54,26202500000NB,4.65,7.1,Alternative_Route_Name,2.45,,Dragon Highway,,
61,01/01/2022,54,3578277001900,0.0,0.13,Alternative_Route_Name,0.13,,17th Street,,
62,01/01/2022,54,5475756001900,0.0,0.25,Alternative_Route_Name,0.25,,32nd Street,,
63,01/01/2022,54,5440016000000,0.5,0.9,Alternative_Route_Name,0.4,,St. Marys Pike,,
64,01/01/2022,54,5440047040000,0.23,0.93,Alternative_Route_Name,0.7,,Dutch Ridge Road,,
65,01/01/2022,54,5440004100000,0.0,0.4,Alternative_Route_Name,0.4,,College Parkway,,
66,01/01/2022,54,13100640000EB,156.18,161.46,Alternative_Route_Name,5.28,,Eisenhower Interstate,,
67,01/01/2022,54,2770100001900,5.61,5.81,Alternative_Route_Name,0.2,,Anderson St.,,
68,01/01/2022,54,0830016000000,19.19,20.35,Alternative_Route_Name,1.16,,Main St,,
69,01/01/2022,54,39202190000NB,0.0,0.8,Alternative_Route_Name,0.8,,Seneca Trail,,
70,01/01/2022,54,1140009000000,0.0,3.41,Alternative_Route_Name,3.41,,Bull Fork Road,,
71,01/01/2022,54,0740004000000,0.0,0.67,Alternative_Route_Name,0.67,,Yellow Creek,,
72,01/01/2022,54,0330085000000,34.05,34.35,Alternative_Route_Name,0.3,,State Street,,
73,01/01/2022,54,13202190000NB,14.34,14.45,Alternative_Route_Name,0.11,,Seneca Trail,,
74,01/01/2022,54,5040008000000,0.0,0.45,Alternative_Route_Name,0.45,,Docks Creek Road,,
75,01/01/2022,54,10100770016SB,52.58,56.36,Alternative_Route_Name,3.78,,Pax Toll Plaza B to Raleigh County Line,,
76,01/01/2022,54,2940028010000,2.45,2.85,Alternative_Route_Name,0.4,,Miller Road,,
77,01/01/2022,54,31100680000EB,10.28,10.32,Alternative_Route_Name,0.04,,I-68,,
78,01/01/2022,54,4140016390000,0.0,0.64,Alternative_Route_Name,0.64,,Fearn Street,,
79,01/01/2022,54,20200600000EB,6.2,6.92,Alternative_Route_Name,0.72,,Maccorkle Ave,,
80,01/01/2022,54,3140049000000,0.66,1.25,Alternative_Route_Name,0.59,,Dents Run,,
81,01/01/2022,54,54100770000NB,162.73,168.205,Alternative_Route_Name,5.475,,Turnpike,,
82,01/01/2022,54,33205220000NB,0.0,6.35,Alternative_Route_Name,6.35,,Virginia Line Road,,
83,01/01/2022,54,17100790000NB,111.91,114.132,Alternative_Route_Name,2.222,,Quiet Dell,,
84,01/01/2022,54,0274265001900,0.0,0.57,Alternative_Route_Name,0.57,,W. John Street,,
85,01/01/2022,54,4140018000000,3.0,3.51,Alternative_Route_Name,0.51,,Cleveland School Road,,
86,01/01/2022,54,5073253001900,0.0,0.13,Alternative_Route_Name,0.13,,15th St,,
87,01/01/2022,54,2540072040000,0.0,0.13,Alternative_Route_Name,0.13,,Poor Farm Road,,
88,01/01/2022,54,4140003180000,2.77,3.51,Alternative_Route_Name,0.74,,Old Eccles Road,,
89,01/01/2022,54,4030034000000,14.57,14.97,Alternative_Route_Name,0.4,,Teays Valley Rd.,,
90,01/01/2022,54,0640060700000,0.18,0.56,Alternative_Route_Name,0.38,,James River Road,,
91,01/01/2022,54,19203400005SB,0.0,0.17,Alternative_Route_Name,0.17,,East Washington Street,,
92,01/01/2022,54,3940003000000,4.6,7.27,Alternative_Route_Name,2.67,,Brandonville Pike,,
93,01/01/2022,54,4140025000000,3.7,5.9,Alternative_Route_Name,2.2,,Sullivan Road,,
94,01/01/2022,54,0940011000000,11.45,12.55,Alternative_Route_Name,1.1,,Arnold Creek,,
95,01/01/2022,54,3140064000000,0.0,0.38,Alternative_Route_Name,0.38,,Aarons Creek Road,,
96,01/01/2022,54,10200190000NB,14.64,15.627,Alternative_Route_Name,0.987,,Mountaineer Expressway,,
97,01/01/2022,54,27200350000NB,16.507,17.102,Alternative_Route_Name,0.595,,Kanawha Valley Rd,,
98,01/01/2022,54,5430014000000,12.71,12.88,Alternative_Route_Name,0.17,,Division Street,,
99,01/01/2022,54,20100790000NB,6.82,7.19,Alternative_Route_Name,0.37,,Jennings Randolph Highway,,
100,01/01/2022,54,2740035110000,0.0,0.37,Alternative_Route_Name,0.37,,Chestnut St,,
101,01/01/2022,54,2040060020000,2.13,3.0,Alternative_Route_Name,0.87,,Strawberry Rd,,
102,01/01/2022,54,54100770000NB,161.66,162.73,Alternative_Route_Name,1.07,,Turnpike,,
103,01/01/2022,54,13100640000EB,170.09,170.23,Alternative_Route_Name,0.14,,Eisenhower Interstate,,
104,01/01/2022,54,0640060050000,0.88,1.68,Alternative_Route_Name,0.8,,Farmdale Road,,
105,01/01/2022,54,1340045010000,0.0,0.559,Alternative_Route_Name,0.559,,Holt Lane,,
106,01/01/2022,54,06200600000EB,7.96,8.43,Alternative_Route_Name,0.47,,Midland Trail,,
107,01/01/2022,54,20100790000NB,5.56,6.12,Alternative_Route_Name,0.56,,Jennings Randolph Highway,,
108,01/01/2022,54,31200190000NB,8.99,9.16,Alternative_Route_Name,0.17,,Fairmont Road,,
109,01/01/2022,54,1640007000000,19.2,20.5,Alternative_Route_Name,1.3,,South Fork Road,,
110,01/01/2022,54,13100640000EB,161.46,165.95,Alternative_Route_Name,4.49,,Eisenhower Interstate,,
111,01/01/2022,54,54100770000NB,173.94,176.46,Alternative_Route_Name,2.52,,Turnpike,,
112,01/01/2022,54,5440047040000,0.93,2.86,Alternative_Route_Name,1.93,,Dutch Ridge Road,,
113,01/01/2022,54,4140016160000,0.0,0.42,Alternative_Route_Name,0.42,,Old Pemberton Road,,
114,01/01/2022,54,0240011240000,0.0,0.85,Alternative_Route_Name,0.85,,Warm Springs Avenue,,
115,01/01/2022,54,5040007000000,17.84,18.87,Alternative_Route_Name,1.03,,Spring Valley Dr,,
116,01/01/2022,54,19203400000NB,9.55,10.41,Alternative_Route_Name,0.86,,William L. Wilson Freeway,,
117,01/01/2022,54,2071011001900,0.06,0.42,Alternative_Route_Name,0.36,,Bakers Fork Rd.,,
118,01/01/2022,54,2040013080000,0.0,0.77,Alternative_Route_Name,0.77,,Clark Rd,,
119,01/01/2022,54,0630010000000,17.46,18.41,Alternative_Route_Name,0.95,,Hal Greer Boulevard,,
120,01/01/2022,54,4130016000000,15.08,15.61,Alternative_Route_Name,0.53,,Robert C. Byrd Drive,,
121,01/01/2022,54,1340045000000,0.66,1.04,Alternative_Route_Name,0.38,,Teaberry Road,,
122,01/01/2022,54,14200500000EB,8.26,8.44,Alternative_Route_Name,0.18,,Main Street,,
123,01/01/2022,54,18100770000NB,119.91,120.71,Alternative_Route_Name,0.8,,Turnpike,,
124,01/01/2022,54,0630527000100,0.0,0.19,Alternative_Route_Name,0.19,,6th Ave,,
125,01/01/2022,54,4640009000000,0.82,1.16,Alternative_Route_Name,0.34,,Knottsville Road,,
126,01/01/2022,54,27200350000NB,18.097,18.46,Alternative_Route_Name,0.363,,Kanawha Valley Rd,,
127,01/01/2022,54,1930009000000,0.0,1.45,Alternative_Route_Name,1.45,,WV 9,,
128,01/01/2022,54,2040049000000,0.68,1.17,Alternative_Route_Name,0.49,,Indian Creek Rd,,
129,01/01/2022,54,18100770000NB,153.79,154.41,Alternative_Route_Name,0.62,,Turnpike,,
130,01/01/2022,54,1030061000100,0.0,0.16,Alternative_Route_Name,0.16,,Virginia Street,,
131,01/01/2022,54,28100770000NB,8.189,8.98,Alternative_Route_Name,0.791,,INTERSTATE 77,,
132,01/01/2022,54,13100640000EB,182.02,184.02,Alternative_Route_Name,2.0,,Eisenhower Interstate,,
133,01/01/2022,54,2730002000000,18.91,19.89,Alternative_Route_Name,0.98,,Huntington Rd.,,
134,01/01/2022,54,3140073730000,0.0,0.58,Alternative_Route_Name,0.58,,Quarry Run Road,,
135,01/01/2022,54,16202200000NB,10.0,10.53,Alternative_Route_Name,0.53,,Main Street,,
136,01/01/2022,54,28100770000NB,5.12,8.189,Alternative_Route_Name,3.069,,Turnpike,,
137,01/01/2022,54,5440021010000,1.2,1.71,Alternative_Route_Name,0.51,,Dry Run,,
138,01/01/2022,54,10200190000NB,2.85,3.82,Alternative_Route_Name,0.97,,Mountaineer Expressway,,
139,01/01/2022,54,17200500000EB,18.52,18.8,Alternative_Route_Name,0.28,,Bridgeport Hill Road,,
140,01/01/2022,54,2040028000000,4.95,5.91,Alternative_Route_Name,0.96,,Five Mile Rd,,
141,01/01/2022,54,41100640017WB,0.0,0.47,Alternative_Route_Name,0.47,,Turnpike,,
142,01/01/2022,54,35202500005SB,0.0,0.36,Alternative_Route_Name,0.36,,16th Street,,
143,01/01/2022,54,18100770000NB,137.74,138.83,Alternative_Route_Name,1.09,,Turnpike,,
144,01/01/2022,54,46201190000NB,6.05,6.54,Alternative_Route_Name,0.49,,Webster Pike,,
145,01/01/2022,54,1540011000000,5.16,5.35,Alternative_Route_Name,0.19,,Kings Creek Rd,,
146,01/01/2022,54,23201190000NB,3.59,5.27,Alternative_Route_Name,1.68,,Corridor G,,
147,01/01/2022,54,4640044080000,0.69,0.72,Alternative_Route_Name,0.03,,Barrett St,,
148,01/01/2022,54,1930051000000,8.13,8.66,Alternative_Route_Name,0.53,,E Washington St,,
149,01/01/2022,54,5040009000000,1.92,3.59,Alternative_Route_Name,1.67,,Harvey Road,,
150,01/01/2022,54,20100790000NB,5.42,5.56,Alternative_Route_Name,0.14,,Jennings Randolph Highway,,
151,01/01/2022,54,1740019020000,0.23,0.65,Alternative_Route_Name,0.42,,Enterprise Road,,
152,01/01/2022,54,06200600000EB,5.76,5.96,Alternative_Route_Name,0.2,,5th Avenue,,
153,01/01/2022,54,3174770001900,0.4,0.44,Alternative_Route_Name,0.04,,Barrickman St,,
154,01/01/2022,54,4170014001900,0.12,0.29,Alternative_Route_Name,0.17,,East Main Street,,
155,01/01/2022,54,18100770000NB,128.33,132.44,Alternative_Route_Name,4.11,,Turnpike,,
156,01/01/2022,54,3130007000000,25.85,26.01,Alternative_Route_Name,0.16,,Mason Dixon Highway,,
157,01/01/2022,54,42200330000EB,8.05,9.5,Alternative_Route_Name,1.45,,US 33,,
158,01/01/2022,54,2630002000000,10.22,11.92,Alternative_Route_Name,1.7,,Energy Road,,
159,01/01/2022,54,19203400000NB,14.66,14.86,Alternative_Route_Name,0.2,,William L Wilson Freeway,,
160,01/01/2022,54,0630193000000,0.46,3.55,Alternative_Route_Name,3.09,,Big Ben Bowen Highway,,
161,01/01/2022,54,13202190000NB,6.03,6.04,Alternative_Route_Name,0.01,,Seneca Trail,,
162,01/01/2022,54,2040025260000,0.4,0.71,Alternative_Route_Name,0.31,,16th Street,,
163,01/01/2022,54,06200600000EB,7.59,7.96,Alternative_Route_Name,0.37,,Midland Trail,,
164,01/01/2022,54,0240013000000,0.43,1.03,Alternative_Route_Name,0.6,,North Tennessee Avenue,,
165,01/01/2022,54,3140068070000,0.75,1.32,Alternative_Route_Name,0.57,,Dughill Road,,
166,01/01/2022,54,3140061010000,0.0,0.37,Alternative_Route_Name,0.37,,Don Nehlen Drive,,
167,01/01/2022,54,26202500000NB,11.65,12.35,Alternative_Route_Name,0.7,,Dragon Highway,,
168,01/01/2022,54,26202500000NB,9.79,10.67,Alternative_Route_Name,0.88,,Dragon Highway,,
169,01/01/2022,54,0540014000000,2.43,3.45,Alternative_Route_Name,1.02,,St Johns Road,,
170,01/01/2022,54,35200400000EB,10.02,10.26,Alternative_Route_Name,0.24,,National Rd,,
171,01/01/2022,54,2930028000000,7.69,9.22,Alternative_Route_Name,1.53,,Short Gap Road,,
172,01/01/2022,54,34200190000NB,1.38,3.4,Alternative_Route_Name,2.02,,Mountain Expressway,,
173,01/01/2022,54,22201190000NB,5.4,6.408,Alternative_Route_Name,1.008,,Corridor G,,
174,01/01/2022,54,0830036000000,2.48,4.2,Alternative_Route_Name,1.72,,Wallback Rd,,
175,01/01/2022,54,2040025250000,0.15,2.17,Alternative_Route_Name,2.02,,Roxalana Rd.,,
176,01/01/2022,54,5430892000000,8.55,9.9,Alternative_Route_Name,1.35,,Dupont Road,,
177,01/01/2022,54,1740050160000,0.12,0.54,Alternative_Route_Name,0.42,,Ocean Mine Road,,
178,01/01/2022,54,20100790000NB,10.64,16.04,Alternative_Route_Name,5.4,,Jennings Randolph Highway,,
179,01/01/2022,54,20100770016NB,82.62,95.34,Alternative_Route_Name,12.72,,Chelyan Toll Plaza C to MM 95,,
180,01/01/2022,54,18200330000EB,0.86,1.08,Alternative_Route_Name,0.22,,Ripley Road,,
181,01/01/2022,54,2730002000000,24.16,24.79,Alternative_Route_Name,0.63,,Ripley Rd,,
182,01/01/2022,54,2040025250000,0.0,0.15,Alternative_Route_Name,0.15,,10th St,,
183,01/01/2022,54,2040060640000,0.0,0.35,Alternative_Route_Name,0.35,,Montrose Dr,,
184,01/01/2022,54,0230009000000,14.55,14.9,Alternative_Route_Name,0.35,,S. Queen Street,,
185,01/01/2022,54,14200500000EB,8.56,8.92,Alternative_Route_Name,0.36,,E. Main Street,,
186,01/01/2022,54,2940220020000,0.0,0.84,Alternative_Route_Name,0.84,,Pine Swamp Road,,
187,01/01/2022,54,4140001000000,1.95,3.4,Alternative_Route_Name,1.45,,Maple Fork Road,,
188,01/01/2022,54,3140019190000,0.47,1.29,Alternative_Route_Name,0.82,,Dupont Road,,
189,01/01/2022,54,1540005000000,1.86,3.674,Alternative_Route_Name,1.814,,Locust Hill Road,,
190,01/01/2022,54,1540016000000,1.05,1.126,Alternative_Route_Name,0.076,,Pyramus Road,,
191,01/01/2022,54,0240034030000,0.0,1.01,Alternative_Route_Name,1.01,,Strobridge Road,,
192,01/01/2022,54,2840027000000,2.12,2.59,Alternative_Route_Name,0.47,,Twelve Mile Road,,
193,01/01/2022,54,4140001000000,3.4,4.14,Alternative_Route_Name,0.74,,Maple Fork Road,,
194,01/01/2022,54,2040022000000,1.19,2.47,Alternative_Route_Name,1.28,,Woodward Dr,,
195,01/01/2022,54,2540072020000,0.72,1.17,Alternative_Route_Name,0.45,,Five Forks Road,,
196,01/01/2022,54,0640060050000,1.68,1.97,Alternative_Route_Name,0.29,,East Pea Ridge Road,,
197,01/01/2022,54,2730002000000,21.0,21.29,Alternative_Route_Name,0.29,,3rd St,,
198,01/01/2022,54,35200400000EB,8.5,8.88,Alternative_Route_Name,0.38,,National Rd,,
199,01/01/2022,54,35200400000EB,4.32,5.42,Alternative_Route_Name,1.1,,National Rd,,
200,01/01/2022,54,1930009000000,4.97,6.35,Alternative_Route_Name,1.38,,Veterans Memorial Hwy,,
201,01/01/2022,54,38202500000NB,5.01,7.0,Alternative_Route_Name,1.99,,Staunton-Parkersburg Turnpike,,
202,01/01/2022,54,5040060030000,1.37,1.47,Alternative_Route_Name,0.1,,James River Rd,,
203,01/01/2022,54,1040012000000,1.9,3.28,Alternative_Route_Name,1.38,,Pleasant View Road,,
204,01/01/2022,54,3578275001900,0.0,0.26,Alternative_Route_Name,0.26,,Merwin Street,,
205,01/01/2022,54,2040060630000,0.06,0.354,Alternative_Route_Name,0.294,,35th St SE Bridge,,
206,01/01/2022,54,0540003010000,0.61,1.65,Alternative_Route_Name,1.04,,Walker Road,,
207,01/01/2022,54,18100770000NB,124.92,126.39,Alternative_Route_Name,1.47,,Turnpike,,
208,01/01/2022,54,2940028010000,0.1,1.09,Alternative_Route_Name,0.99,,Miller Road,,
209,01/01/2022,54,2730002000000,1.39,3.15,Alternative_Route_Name,1.76,,Huntington Rd.,,
210,01/01/2022,54,31200190000NB,14.25,14.35,Alternative_Route_Name,0.1,,Jerry West Blvd,,
211,01/01/2022,54,3730002000000,10.51,10.84,Alternative_Route_Name,0.33,,2nd Street,,
212,01/01/2022,54,06200600001EB,0.0,0.39,Alternative_Route_Name,0.39,,4th Avenue,,
213,01/01/2022,54,4030817000000,2.06,10.62,Alternative_Route_Name,8.56,,Winfield Rd,,
214,01/01/2022,54,1640010030000,0.0,0.21,Alternative_Route_Name,0.21,,Hutter Road,,
215,01/01/2022,54,1040012000000,0.18,1.9,Alternative_Route_Name,1.72,,Wolf Creek Road,,
216,01/01/2022,54,1540011030000,0.06,0.352,Alternative_Route_Name,0.292,,Lick Run Road,,
217,01/01/2022,54,3140070000000,0.387,1.47,Alternative_Route_Name,1.083,,Summer School Road,,
218,01/01/2022,54,2730002000000,13.72,15.93,Alternative_Route_Name,2.21,,Huntington Rd.,,
219,01/01/2022,54,4130210000000,1.2,1.89,Alternative_Route_Name,0.69,,S Kanawha St,,
220,01/01/2022,54,1540011020000,0.57,2.75,Alternative_Route_Name,2.18,,Hudson Hill Road,,
221,01/01/2022,54,5275502001900,0.11,0.3,Alternative_Route_Name,0.19,,Foundry Street,,
222,01/01/2022,54,31201190000NB,18.2,19.66,Alternative_Route_Name,1.46,,Point Marion Road,,
223,01/01/2022,54,13100640000EB,149.84,156.18,Alternative_Route_Name,6.34,,Eisenhower Interstate,,
224,01/01/2022,54,38202500000NB,0.0,5.0,Alternative_Route_Name,5.0,,Mountain Turnpike,,
225,01/01/2022,54,17100790000NB,110.29,111.13,Alternative_Route_Name,0.84,,Quiet Dell,,
226,01/01/2022,54,5475767001900,0.0,0.24,Alternative_Route_Name,0.24,,St. Marys Avenue,,
227,01/01/2022,54,2030025000000,2.46,2.68,Alternative_Route_Name,0.22,,1st Ave. S.,,
228,01/01/2022,54,03201190000NB,12.83,13.54,Alternative_Route_Name,0.71,,Corridor G,,
229,01/01/2022,54,1630055000000,35.57,36.3,Alternative_Route_Name,0.73,,Corridor H,,
230,01/01/2022,54,2330010000000,19.41,20.39,Alternative_Route_Name,0.98,,"Hanging Rock Hwy, Walnut St",,
231,01/01/2022,54,2340005000000,0.45,2.789,Alternative_Route_Name,2.339,,Mud Fork Rd,,
232,01/01/2022,54,1740024020000,0.75,0.87,Alternative_Route_Name,0.12,,Factory Street,,
233,01/01/2022,54,1540011000000,5.35,5.59,Alternative_Route_Name,0.24,,Kings Creek Road,,
234,01/01/2022,54,2040160070000,0.27,0.51,Alternative_Route_Name,0.24,,Walnut St,,
235,01/01/2022,54,2030061000000,20.18,20.38,Alternative_Route_Name,0.2,,MacCorkle Ave SE,,
236,01/01/2022,54,0230009000000,6.47,7.58,Alternative_Route_Name,1.11,,W Main Street,,
237,01/01/2022,54,5440034000000,0.0,0.76,Alternative_Route_Name,0.76,,Lake Washington Road,,
238,01/01/2022,54,06200600000EB,15.59,17.29,Alternative_Route_Name,1.7,,Midland Trail,,
239,01/01/2022,54,50200600000EB,1.13,1.83,Alternative_Route_Name,0.7,,Oak St,,
240,01/01/2022,54,31201190000NB,17.44,18.2,Alternative_Route_Name,0.76,,Point Marion Road,,
241,01/01/2022,54,2540060000000,2.11,2.61,Alternative_Route_Name,0.5,,Poplar Island Road,,
242,01/01/2022,54,17200500000EB,15.68,16.24,Alternative_Route_Name,0.56,,Clarksburg Expressway,,
243,01/01/2022,54,28100770000NB,0.69,2.56,Alternative_Route_Name,1.87,,Turnpike,,
244,01/01/2022,54,2040012000000,4.55,5.1,Alternative_Route_Name,0.55,,Kanawha Turnpike,,
245,01/01/2022,54,2540072020000,1.76,1.93,Alternative_Route_Name,0.17,,Five Forks Road,,
246,01/01/2022,54,0640021000000,0.537,0.9,Alternative_Route_Name,0.363,,Pritchard Road,,
247,01/01/2022,54,13100640000EB,174.1,175.31,Alternative_Route_Name,1.21,,Eisenhower Interstate,,
248,01/01/2022,54,2840014000000,0.0,0.63,Alternative_Route_Name,0.63,,Eads Mill Road,,
249,01/01/2022,54,4240033070000,0.0,0.43,Alternative_Route_Name,0.43,,Weese Street,,
250,01/01/2022,54,2040025470000,0.36,0.57,Alternative_Route_Name,0.21,,10th St,,
251,01/01/2022,54,5440004000000,0.57,0.93,Alternative_Route_Name,0.36,,College Parkway,,
252,01/01/2022,54,3174817001900,0.0,0.24,Alternative_Route_Name,0.24,,Dughill Road,,
253,01/01/2022,54,3140068070000,1.61,2.15,Alternative_Route_Name,0.54,,Dughill Road,,
254,01/01/2022,54,0240010010000,0.0,0.69,Alternative_Route_Name,0.69,,Tavern Road,,
255,01/01/2022,54,4640044000000,0.24,0.73,Alternative_Route_Name,0.49,,Parkview Road,,
256,01/01/2022,54,2030622000000,2.13,2.23,Alternative_Route_Name,0.1,,Goff Mtn. Rd.,,
257,01/01/2022,54,0630010000000,15.69,15.82,Alternative_Route_Name,0.13,,Hal Greer Boulevard,,
258,01/01/2022,54,2640054000000,7.086,7.71,Alternative_Route_Name,0.624,,Big Grave Creek Road,,
259,01/01/2022,54,5430014000000,12.88,13.0,Alternative_Route_Name,0.12,,Division Street,,
260,01/01/2022,54,2071026001900,0.0,0.33,Alternative_Route_Name,0.33,,Leon Sullivan Way,,
261,01/01/2022,54,26202500000NB,7.1,8.07,Alternative_Route_Name,0.97,,Dragon Highway,,
262,01/01/2022,54,31201190000NB,14.42,14.62,Alternative_Route_Name,0.2,,Willey Street,,
263,01/01/2022,54,0640035000000,7.83,8.63,Alternative_Route_Name,0.8,,Norway,,
264,01/01/2022,54,1830002000000,11.14,11.28,Alternative_Route_Name,0.14,,Point Pleasant Road,,
265,01/01/2022,54,2040006150000,0.0,0.04,Alternative_Route_Name,0.04,,3rd St,,
266,01/01/2022,54,3530002000000,1.9,2.13,Alternative_Route_Name,0.23,,Exit Ramp,,
267,01/01/2022,54,0230901000000,4.86,5.44,Alternative_Route_Name,0.58,,Hammonds Mill Road,,
