Count,ValidationRule,ValidationDescription
675,SJ-F-46,At least one GRADES_A-F must be coded for each Sample WHERE F_SYSTEM in (1;2;3) or F_SYSTEM = 4 and URBAN_ID = 99999 and SURFACE_TYPE > 1.
394,SJ-F-92,THICKNESS_RIGID must be Null WHERE SURFACE_TYPE in (2;6) 
278,SJ-F-57,Sample and YEAR_LAST_IMPROVEMENT exists
151,SJ-F-49,IRI ValueNumeric Must Exist Where SURFACE_TYPE >1 AND (FACILITY_TYPE IN (1;2) AND (PSR ValueText <> 'A' AND (F_SYSTEM in (1;2;3) OR NHS ValueNumeric <>1) OR Sample sections WHERE (F_SYSTEM = 4 and URBAN_ID = 99999)OR DIR_THROUGH_LANES >0
141,SJ-F-93,THICKNESS_FLEXIBLE must be Null WHERE SURFACE_TYPE in (3;4;5;9;10)
60,SJ-F-31,STOP_SIGNS (the number of stop sign controlled intersections) must exist on Samples
51,SJ-F-10,PEAK_LANES must exist on Samples
51,SJ-F-32,AT_GRADE_OTHER (the number of intersections; type 'other') must exist on Samples
51,SJ-F-34,MEDIAN_TYPE must exist on Samples
51,SJ-F-40,WIDENING_POTENTIAL must exist on Samples
50,SJ-F-37,SHOULDER_WIDTH_R must exist on Samples where SHOULDER_TYPE in (2;3;4;5;6)
49,SJ-F-11,COUNTER_PEAK_LANES must exist on Samples where FACILITY_TYPE = 2 AND (URBAN_ID < 99999 OR THROUGH_LANES >=4)
33,SJ-F-39,PEAK_PARKING must exist on Samples where URBAN_ID < 99999
30,SJ-F-52,RUTTING ValueNumeric Must Exist Where SURFACE_TYPE in (2;6;7;8) AND (FACILITY_TYPE in (1;2) AND (F_SYSTEM = 1 OR NHS OR Sample) OR DIR_THROUGH_LANES >0 AND (IRI IS NOT NULL OR PSR IS NOT NULL))
26,SJ-F-13,TURN_LANES_L must exist on Samples where URBAN_ID  < 99999 and ACCESS_CONTROL >1
26,SJ-F-12,TURN_LANES_R must exist on Samples where URBAN_ID  < 99999 and ACCESS_CONTROL >1
23,SJ-F-20,AADT must exist WHERE: (FACILITY_TYPE in (1;2;4) AND (F_SYSTEM in (1;2;3;4;5)) OR (F_SYSTEM = 6 and URBAN_ID  <99999) OR NHS ValueNumeric <> NULL
23,SJ-F-41,CURVES BP/EP on F_SYSTEM in (1;2;3) or F_SYSTEM = 4 and URBAN_ID = 99999 and SURFACE_TYPE > 1 Must Align with Sample BP/EP
23,SJ-F-45,GRADES BP/EP on F_SYSTEM in (1;2;3) or F_SYSTEM = 4 and URBAN_ID = 99999 and SURFACE_TYPE > 1 Must Align with Sample BP/EP
18,SJ-F-44,TERRAIN_TYPE must exist on Samples WHERE (URBAN_ID = 99999 AND F_SYSTEM in (1;2;3;4;5))
15,SJ-F-71,COUNTER_PEAK_LANES must be NULL if FACILITY_TYPE is 1
14,SJ-F-30,NUMBER_SIGNALS must exist on Samples WHERE SIGNAL_TYPE IN (1;2;3;4)
10,SJ-F-48,PCT_PASS_SIGHT must exist on Samples WHERE: (URBAN_ID = 99999 and THROUGH_LANES =2 and MEDIAN_TYPE in (1;2) and SURFACE_TYPE > 1)
3,SJ-F-98,MAINTENANCE_OPERATIONS ValueNumeric <> OWNERSHIP ValueNumeric
2,SJ-F-99,Sample crosses TOPS.  The extent of a given Sample Panel Section extends beyond the extent of the associated TOPS section.  Samples should match the length of TOPS sections or be shorter; but can not be longer.
2,SJ-F-21,AADT_SINGLE_UNIT must exist WHERE ((F_SYSTEM in (1) or NHS ValueNumeric <> NULL) and FACILITY_TYPE (1;2)) and on Samples
2,SJ-F-23,AADT_COMBINATION must exist WHERE ((F_SYSTEM in (1) or NHS ValueNumeric <> NULL) and FACILITY_TYPE (1;2)) and on Samples
1,SJ-F-27,FUTURE_AADT must exist on Samples
1,SJ-F-26,DIR_FACTOR must exist on Samples
1,SJ-F-25,K_FACTOR must exist on Samples
